PhraseId,Sentiment
156061,2
156062,2
156063,2
156064,1
156065,1
156066,1
156067,3
156068,3
156069,3
156070,2
156071,1
156072,1
156073,1
156074,1
156075,2
156076,1
156077,2
156078,1
156079,0
156080,2
156081,2
156082,2
156083,1
156084,2
156085,2
156086,2
156087,1
156088,2
156089,1
156090,2
156091,1
156092,1
156093,3
156094,2
156095,2
156096,2
156097,2
156098,2
156099,2
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,1
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,2
156123,1
156124,3
156125,2
156126,2
156127,1
156128,0
156129,2
156130,1
156131,2
156132,0
156133,1
156134,2
156135,2
156136,1
156137,2
156138,0
156139,0
156140,0
156141,0
156142,1
156143,2
156144,2
156145,2
156146,2
156147,2
156148,2
156149,2
156150,2
156151,2
156152,2
156153,2
156154,4
156155,3
156156,2
156157,3
156158,2
156159,2
156160,2
156161,2
156162,2
156163,2
156164,1
156165,2
156166,4
156167,1
156168,3
156169,2
156170,2
156171,4
156172,4
156173,2
156174,4
156175,4
156176,4
156177,2
156178,1
156179,2
156180,0
156181,0
156182,2
156183,0
156184,2
156185,2
156186,2
156187,2
156188,2
156189,2
156190,2
156191,2
156192,2
156193,2
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,1
156202,2
156203,1
156204,2
156205,3
156206,3
156207,0
156208,1
156209,1
156210,1
156211,1
156212,2
156213,0
156214,2
156215,0
156216,1
156217,2
156218,1
156219,4
156220,2
156221,4
156222,4
156223,2
156224,2
156225,2
156226,1
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,4
156237,2
156238,4
156239,2
156240,4
156241,2
156242,2
156243,4
156244,4
156245,3
156246,3
156247,2
156248,2
156249,1
156250,1
156251,1
156252,3
156253,3
156254,3
156255,3
156256,3
156257,3
156258,2
156259,2
156260,2
156261,2
156262,1
156263,3
156264,3
156265,0
156266,3
156267,2
156268,3
156269,0
156270,1
156271,2
156272,4
156273,1
156274,4
156275,4
156276,4
156277,4
156278,4
156279,4
156280,4
156281,3
156282,4
156283,3
156284,2
156285,1
156286,4
156287,4
156288,3
156289,4
156290,2
156291,2
156292,2
156293,2
156294,2
156295,2
156296,2
156297,2
156298,2
156299,2
156300,1
156301,1
156302,2
156303,2
156304,1
156305,1
156306,2
156307,1
156308,2
156309,1
156310,2
156311,1
156312,0
156313,0
156314,1
156315,2
156316,1
156317,1
156318,2
156319,0
156320,1
156321,1
156322,1
156323,2
156324,3
156325,2
156326,2
156327,2
156328,3
156329,2
156330,1
156331,2
156332,2
156333,2
156334,3
156335,3
156336,3
156337,4
156338,4
156339,4
156340,2
156341,1
156342,1
156343,1
156344,1
156345,2
156346,2
156347,2
156348,4
156349,2
156350,2
156351,1
156352,1
156353,0
156354,0
156355,2
156356,2
156357,3
156358,2
156359,2
156360,3
156361,2
