PhraseId,Label4,Label5,Label3,Sentiment
156061,1,1,1,1.0
156062,2,1,1,1.3333333333333333
156063,2,2,2,2.0
156064,1,1,1,1.0
156065,1,1,1,1.0
156066,3,3,3,3.0
156067,3,3,3,3.0
156068,2,2,2,2.0
156069,4,4,4,4.0
156070,2,2,2,2.0
156071,1,1,1,1.0
156072,2,2,2,2.0
156073,1,2,1,1.3333333333333333
156074,2,2,2,2.0
156075,2,2,2,2.0
156076,1,1,1,1.0
156077,2,2,2,2.0
156078,4,1,1,2.0
156079,1,1,0,0.6666666666666666
156080,2,2,2,2.0
156081,2,2,2,2.0
156082,2,2,2,2.0
156083,3,1,1,1.6666666666666667
156084,3,2,2,2.3333333333333335
156085,2,2,2,2.0
156086,2,2,2,2.0
156087,2,2,1,1.6666666666666667
156088,2,2,2,2.0
156089,3,1,0,1.3333333333333333
156090,2,2,2,2.0
156091,4,1,0,1.6666666666666667
156092,4,2,0,2.0
156093,3,3,3,3.0
156094,3,2,2,2.3333333333333335
156095,2,2,2,2.0
156096,3,3,3,3.0
156097,2,2,2,2.0
156098,2,2,2,2.0
156099,2,2,2,2.0
156100,2,2,2,2.0
156101,2,2,1,1.6666666666666667
156102,2,2,2,2.0
156103,2,2,2,2.0
156104,2,2,2,2.0
156105,2,2,2,2.0
156106,2,2,2,2.0
156107,2,2,1,1.6666666666666667
156108,2,2,2,2.0
156109,2,2,1,1.6666666666666667
156110,2,2,2,2.0
156111,2,2,2,2.0
156112,2,2,1,1.6666666666666667
156113,2,2,2,2.0
156114,2,2,2,2.0
156115,2,2,2,2.0
156116,2,2,2,2.0
156117,2,2,2,2.0
156118,2,2,2,2.0
156119,2,2,2,2.0
156120,2,2,2,2.0
156121,2,2,2,2.0
156122,2,2,1,1.6666666666666667
156123,2,2,1,1.6666666666666667
156124,2,2,2,2.0
156125,2,2,1,1.6666666666666667
156126,2,2,1,1.6666666666666667
156127,2,2,2,2.0
156128,0,0,0,0.0
156129,2,2,2,2.0
156130,0,0,0,0.0
156131,2,2,2,2.0
156132,0,0,0,0.0
156133,2,2,2,2.0
156134,2,2,2,2.0
156135,2,2,1,1.6666666666666667
156136,0,0,0,0.0
156137,2,2,2,2.0
156138,0,0,0,0.0
156139,0,0,0,0.0
156140,0,0,0,0.0
156141,0,0,0,0.0
156142,0,1,0,0.3333333333333333
156143,2,2,2,2.0
156144,2,2,2,2.0
156145,2,2,2,2.0
156146,2,2,2,2.0
156147,2,2,2,2.0
156148,2,2,2,2.0
156149,2,2,2,2.0
156150,2,2,1,1.6666666666666667
156151,2,2,2,2.0
156152,2,2,2,2.0
156153,2,2,2,2.0
